"BEVOEGD GEZAG NUMMER","BEVOEGD GEZAG NAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","KVK-NUMMER","ADMINISTRATIEKANTOORNUMMER"
"10249","Gemeente Emmen","Raadhuisplein","1","7811 AP","EMMEN","0114","EMMEN","Openbaar","0591685555","www.openbaaronderwijsemmen.nl","Postbus","30001","7800 RA","EMMEN","01181973",""
"10867","Gemeente Terschelling","Burg van Heusdenweg","10-A","8881 EB","WEST-TERSCHELLING","0093","TERSCHELLING","Openbaar","0562446244","www.terschelling.nl","Burg van Heusdenweg","10-A","8881 EB","WEST-TERSCHELLING","","951"
"10925","Gemeente Westerwolde","Dorpsstraat","1","9551 AB","SELLINGEN","1950","WESTERWOLDE","Openbaar","0599320220","www.vlagtwedde.nl","Postbus","14","9550 AA","SELLINGEN","01173377","706"
"11711","Gemeente Noordenveld","Groene Zoom","16","9301 SJ","RODEN","1699","NOORDENVELD","Openbaar","0504065780","www.onderwijs-noordenveld.nl","Postbus","21","9300 AA","RODEN","","947"
"11764","Gemeente Eijsden-Margraten","Amerikaplein","1","6269 DA","MARGRATEN","1903","EIJSDEN-MARGRATEN","Openbaar","0434093055","www.eijsden-margraten.nl","Postbus","196","6400 AD","HEERLEN","51643324","401"
"13622","Stichting Openbaar Primair Onderwijs Haarlemmermeer","Wilhelminalaan","55","2132 DV","HOOFDDORP","0394","HAARLEMMERMEER","Openbaar","0235640999","www.sopoh.eu","Wilhelminalaan","55","2132 DV","HOOFDDORP","34107734",""
"13662","Stichting Openbaar Onderwijs Present","De Middend","104-108","1613 KZ","GROOTEBROEK","0532","STEDE BROEC","Openbaar","0228523857","www.openbaaronderwijspresent.nl","De Middend","104-108","1613 KZ","GROOTEBROEK","37087297","222"
"13682","Openbaar Primair Onderwijs Oegstgeest","Terweeweg","106","2341 CV","OEGSTGEEST","0579","OEGSTGEEST","Openbaar","0715150823","www.opoo.nl","Postbus","1194","2340 BD","OEGSTGEEST","53744411","953"
"13683","Schoolbestuur voor primair en voortgezet onderwijs tussen Lauwers en Eems-stg","Noorderstraat","13","9989 AA","WARFFUM","1651","EEMSMOND","Openbaar","0595424955","www.lauwerseneems.nl","Postbus","10","9989 ZG","WARFFUM","02068659",""
"13839","Bestuurscommissie Master Frankeskoalle voor Basisonderwijs te Eernewoude","Zetveld","38","9202 LM","DRACHTEN","0090","SMALLINGERLAND","Openbaar","0651390690","","Postbus","210","9200 AE","DRACHTEN","","780"
"13878","Bestuurscommissie Openbaar Basisonderwijs Ameland","Jelmeraweg","1","9162 EA","BALLUM","0060","AMELAND","Openbaar","0519555555","www.opo-ameland.nl","Postbus","22","9160 AA","HOLLUM","","951"
"20183","Verenig. voor Chr. Onderwijs op Reformatorische Grondslag","Anna van Burenlaan","24","2404 GM","ALPHEN AAN DEN RIJN","0484","ALPHEN AAN DEN RIJN","Reformatorisch","0172472352","","Anna van Burenlaan","24","2404 GM","ALPHEN AAN DEN RIJN","40446965","165"
"20210","Stichting Matthijsje","Oosterstreek","23","8388 NA","OOSTERSTREEK","0098","WESTSTELLINGWERF","Algemeen bijzonder","0561432690","www.schoolmatthijsje.nl","Postbus","8","8390 AA","NOORDWOLDE FR","41002191","940"
"20243","Ver. Stg. Ned.-Herv. Chr. Scholen te Waddinxveen","Roemer Visscherstraat","21","2741 BC","WADDINXVEEN","0627","WADDINXVEEN","Protestants-Christelijk","0182617846","www.nhsbethel.nl","Roemer Visscherstraat","21","2741 BC","WADDINXVEEN","40464152","165"
"20252","Vereniging Jenaplanonderwijs Oudewater","De Cope","26","3421 XL","OUDEWATER","0589","OUDEWATER","Algemeen bijzonder","0348564490","www.klavertje4oudewater.nl","Postbus","80","3360 AB","SLIEDRECHT","40480007","136"
"20281","Stichting Lucas Onderwijs","Saffierhorst","105","2592 GK","'S-GRAVENHAGE","0518","S GRAVENHAGE","Samenwerking PC, RK","0703001100","www.lucasonderwijs.nl","Postbus","93231","2509 AE","'S-GRAVENHAGE","41158916","034"
"20450","Ver. Bas.ond. Op Ger. Grondsl. te Aagtekerke","Prelaatweg","22","4363 NE","AAGTEKERKE","0717","VEERE","Protestants-Christelijk","0118582693","www.versluijsschool.nl","Prelaatweg","22","4363 NE","AAGTEKERKE","40309346","165"
"20671","Westlandse Stichting Katholiek Onderwijs (WSKO)","De Ruijtbaan","83","2685 RS","POELDIJK","1783","WESTLAND","Rooms-Katholiek","0174280446","www.wsko.nl","De Ruijtbaan","83","2685 RS","POELDIJK","41145292",""
"20905","Ver. voor Chr. Basis-Onderwijs Instituut Schreuder","Van de Veldestraat","10","1071 CW","AMSTERDAM","0363","AMSTERDAM","Protestants-Christelijk","0206623388","","Van de Veldestraat","10","1071 CW","AMSTERDAM","40531142","222"
"20970","Amsterdamse Schoolver. v. Opv. en Onderwijs 'A.S.V.O.'","Frederiksplein","37","1017 XL","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206400982","","Frederiksplein","37","1017 XL","AMSTERDAM","40531595","222"
"21464","Stichting Joodse Scholengem.sch. J.B.O.","Noordbrabantstraat","15","1083 BE","AMSTERDAM","0363","AMSTERDAM","Joods","0206444191","www.jbo.nl","Postbus","87058","1080 JB","AMSTERDAM","41198667","222"
"21478","Ver. tot Verstr. van Onderwijs op Gereformeerde Grondslag","Duikerlaan","402","2903 AC","CAPELLE AAN DEN IJSSEL","0502","CAPELLE AAN DEN IJSSEL","Protestants-Christelijk","0104582706","www.ebenhaezer-capelle.nl","Postbus","66","2900 AB","CAPELLE AAN DEN IJSSEL","40341089","165"
"22091","Stichting Openbaar Onderwijs Velswijk","Decanijeweg","3","7251 BP","VORDEN","1876","BRONCKHORST","Openbaar","0575462573","","Decanijeweg","3","7251 BP","VORDEN","63407280","744"
"22622","Ver voor Christ. Basisonderw. Laat de kinderen tot Mij komen","Verlengde Kerkweg","23","2985 AZ","RIDDERKERK","0597","RIDDERKERK","Protestants-Christelijk","0180423525","www.rehobothschool-ridderkerk.nl","Verlengde Kerkweg","23","2985 AZ","RIDDERKERK","40342524","165"
"22725","Stichting voor Interconfess. (rk/pc) en Katholiek Onderwijs","Nassaulaan","72","3116 EX","SCHIEDAM","0606","SCHIEDAM","Samenwerking PC, RK","0104264830","www.siko.nl","Nassaulaan","72","3116 EX","SCHIEDAM","41141191","136"
"22765","Ver. Verstrekken Onderwijs op Gereformeerde Grondslag Lisse","Schoolstraat","11-A","2161 HB","LISSE","0553","LISSE","Protestants-Christelijk","0252413099","www.deakkerlisse.nl","Schoolstraat","11-A","2161 HB","LISSE","40445510","165"
"23128","Quo Vadis Stichting voor Basisonderwijs","Bosanemoon","30","7422 NW","DEVENTER","0150","DEVENTER","Interconfessioneel","0850435490","www.stichtingquovadis.nl","Postbus","256","7400 AG","DEVENTER","41244139","744"
"23337","Vereniging voor Prot. Chr. Onderw. Rhenen","Ericalaan","30","3911 XN","RHENEN","0340","RHENEN","Protestants-Christelijk","0317613985","www.ericaschool.nl","Ericalaan","30","3911 XN","RHENEN","40476646","136"
"23440","Schoolvereniging 'Willemspark'","Willem Witsenstraat","12","1077 AZ","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206400982","","Postjesweg","175","1062 JN","AMSTERDAM","40530151","222"
"23545","Ver. tot het verstr. van b.o. op ref. grondsl. te Oosterland","Lange Dreef","8","4307 AD","OOSTERLAND","1676","SCHOUWEN-DUIVELAND","Reformatorisch","0111643578","","Lange Dreef","8","4307 AD","OOSTERLAND","40309375","165"
"23674","Vereniging 'een School met de Bijbel'","Gasthuisstraat","7","3958 BL","AMERONGEN","1581","UTRECHTSE HEUVELRUG","Protestants-Christelijk","0343451268","www.cbswilhelmina.nl","Postbus","9","3958 ZT","AMERONGEN","40478038","136"
"23883","Ver. Verstr. Kleuter/Bo op GGs te Nunspeet","F.A. Molijnlaan","69","8071 AC","NUNSPEET","0302","NUNSPEET","Protestants-Christelijk","0341263402","","F.A. Molijnlaan","69","8071 AC","NUNSPEET","40094342","165"
"23948","Ver t Stg Insth Sch op Geref Grondsl","Meidoornstraat","20-BG","8091 JX","WEZEP","0269","OLDEBROEK","Protestants-Christelijk","","www.meidoornschool.nl","Meidoornstraat","20-BG","8091 JX","WEZEP","40094177","638"
"23961","Stichting Primair Onderwijs Leudal en Thornerkwartier","In de Neerakker","2","6093 JE","HEYTHUYSEN","1640","LEUDAL","Rooms-Katholiek","0475550449","www.spolt.nl","Postbus","3043","6093 ZG","HEYTHUYSEN","41066900","401"
"24065","Ver. Herv. Chr. Schoolonderw. te Waspik","Brugstraat","2","5165 CA","WASPIK","0867","WAALWIJK","Protestants-Christelijk","0416311379","www.cbsdebrug.nl","Brugstraat","2","5165 CA","WASPIK","40271343","606"
"24195","Ver. verstr. bo op Ger. Gr.sl. te Genemuiden","Jan van Nassaustraat","3","8281 ZC","GENEMUIDEN","1896","ZWARTEWATERLAND","Reformatorisch","0383854847","","Jan van Nassaustraat","3","8281 ZC","GENEMUIDEN","40059813","165"
"24207","Stg. St. Martinus v. Onderwijs op Katholieke Grondslag","Prinses Beatrixstraat","2","5911 BM","VENLO","0983","VENLO","Rooms-Katholiek","0773200681","","Prinses Beatrixstraat","2","5911 BM","VENLO","41062320","413"
"24481","Ver. Basisond. op Reform. Grondsl. te Kootwijkerbroek","Schoonbeekhof","53","3774 DA","KOOTWIJKERBROEK","0203","BARNEVELD","Reformatorisch","0342417960","","Schoonbeekhof","53","3774 DA","KOOTWIJKERBROEK","40119176","165"
"24533","Ver. Chr. Nat. Schoolonderwijs te Nunspeet","Eikbosserweg","45-B","8071 XA","NUNSPEET","0302","NUNSPEET","Protestants-Christelijk","0341270885","www.cnsnunspeet.net","Postbus","172","8070 AD","NUNSPEET","40094225","696"
"24597","Stichting Rotterdamse Verenig. van K.O.","Stationssingel","80","3033 HJ","ROTTERDAM","0599","ROTTERDAM","Rooms-Katholiek","0104537500","www.rvko.nl","Postbus","4250","3006 AG","ROTTERDAM","40342002","706"
"24715","Ver. tot het verstr. van Chr. BO op Geref. Grondslag (VCOG)","Lindelaan","15","4043 MA","OPHEUSDEN","1740","NEDER-BETUWE","Reformatorisch","0488441457","","Postbus","38","4043 ZG","OPHEUSDEN","40156197","165"
"24844","Stichting VCO Oost Nederland","M.H. Tromplaan","47","7513 AB","ENSCHEDE","0153","ENSCHEDE","Protestants-Christelijk","0534309440","www.vco-oostnederland.nl","Postbus","2393","7500 CJ","ENSCHEDE","06089439","722"
"24845","Ver. tot het Verstr. van Onderw. op Geref. Grondsl.","Biezenkreek","15","3079 SK","ROTTERDAM","0599","ROTTERDAM","Protestants-Christelijk","0104795226","www.petrusdatheen.nl","Postbus","9098","3007 AB","ROTTERDAM","40342484","165"
"25156","Amersfoortse Schoolvereniging","Johan v Oldenbarneveltln","23","3818 HA","AMERSFOORT","0307","AMERSFOORT","Algemeen bijzonder","0334613568","","Johan v Oldenbarneveltln","23","3818 HA","AMERSFOORT","40506363","638"
"25196","Vereniging tot het Verstrekken Onderwijs Gereform. Grondslag","Hofje van Gratie","15","2926 RD","KRIMPEN AAN DEN IJSSEL","0542","KRIMPEN AAN DEN IJSSEL","Reformatorisch","0180514318","www.sggkrimpen.nl","Hofje van Gratie","15","2926 RD","KRIMPEN AAN DEN IJSSEL","40342490","165"
"25351","Stichting Keender","Holthuizerstraat","14","7482 ET","HAAKSBERGEN","0158","HAAKSBERGEN","Samenwerking Opb., RK","0535723503","www.keender.nl","Postbus","35","7480 AA","HAAKSBERGEN","41027060","722"
"25664","Stichting Katholiek Montessori Onderwijs Bussum","J.J.H. Verhulstlaan","13","1401 CS","BUSSUM","1942","GOOISE MEREN","Rooms-Katholiek","0356911011","www.kmsbussum.nl","J.J.H. Verhulstlaan","13","1401 CS","BUSSUM","41192699","706"
"25833","Vereniging voor Basisonderwijs Gereform. Grondslag te Tholen","Burg Van Boeijenstraat","6","4691 DM","THOLEN","0716","THOLEN","Protestants-Christelijk","0166610961","","Postbus","34","4690 AA","THOLEN","40309629","165"
"26158","Stichting Fedra","Antillenstraat","21","1944 XA","BEVERWIJK","0375","BEVERWIJK","Samenwerking PC, RK","0251217101","www.fedra.nl","Postbus","1148","1940 EC","BEVERWIJK","41223035","136"
"26613","Stichting Reformatorisch Onderwijs","Nassaulaan","54","2628 GJ","DELFT","0503","DELFT","Reformatorisch","0152617712","","Nassaulaan","54","2628 GJ","DELFT","41145423","606"
"26626","Stg. tot het Verstr. van BO op Gereformeerde Grondslag","Koerheuvelweg","1","3912 AA","RHENEN","0340","RHENEN","Protestants-Christelijk","0317612659","","Koerheuvelweg","1","3912 AA","RHENEN","41178932","165"
"26977","Stichting Best Onderwijs","Nassaustraat","10","5682 AD","BEST","0753","BEST","Samenwerking PC, RK, Alg. Bijz","0499376120","www.bestonderwijs.nl","Postbus","275","5680 AG","BEST","40235964","401"
"27067","Stichting Christ. Basisonderw. Lochem-Laren","Curieplein","21","7242 KH","LOCHEM","0262","LOCHEM","Protestants-Christelijk","0573252575","www.cbs-derank.nl","Curieplein","21","7242 KH","LOCHEM","08077156","744"
"27237","Ver. voor basisonderwijs op Gereformeerde grondslag Speuld","Garderenseweg","205","3852 NH","ERMELO","0233","ERMELO","Protestants-Christelijk","0577407219","www.speulderbrink.nl","Garderenseweg","205","3852 NH","ERMELO","40094313","165"
"27340","Ver. Bev. vh Chr. Nat. onderw. te Hollum","De Hagen","15","9161 BX","HOLLUM","0060","AMELAND","Protestants-Christelijk","0519554500","www.cbskoninginwilhelmina. nl","De Hagen","15","9161 BX","HOLLUM","40001964","951"
"27770","Stichting KBA NW West","Laan van Kronenburg","14","1183 AS","AMSTELVEEN","0362","AMSTELVEEN","Samenwerking PC, RK","0206182572","www.stkba.nl","Laan van Kronenburg","14","1183 AS","AMSTELVEEN","41199924","780"
"27860","Ver. Christ. Nat. Schoolond. d'Uylenborch","De Borchgravestraat","54","4286 BN","ALMKERK","0874","WOUDRICHEM","Protestants-Christelijk","0183401339","www.uylenborch.nl","Postbus","80","3360 AB","SLIEDRECHT","40271394","136"
"27910","Stichting Marcant-BSV","Oostermaat","1-A","7623 CS","BORNE","0147","BORNE","Protestants-Christelijk","0748528235","www.marcantonderwijs.nl","Oostermaat","1-A","7623 CS","BORNE","06086257","722"
"28147","Stichting Katholiek Onderwijs Batavorum","Hoenderik","9","6662 VM","ELST GLD","1734","OVERBETUWE","Rooms-Katholiek","0481350003","www.batavorum.nl","Postbus","210","6660 AE","ELST GLD","41047554","136"
"28212","de Vrije School Noord en Oost Nederland","Industrieweg","85-1","7202 CA","ZUTPHEN","0301","ZUTPHEN","Antroposofisch","0575533860","www.vsnon.nl","Postbus","4086","7200 BB","ZUTPHEN","41038120","744"
"28420","Ver. voor Chr. Nat. Sch.ond. Amsterdam(Bos & Lommer)","Hertspieghelweg","55","1055 KK","AMSTERDAM","0363","AMSTERDAM","Protestants-Christelijk","0206840451","www.dewiltzangh.nl","Hertspieghelweg","55","1055 KK","AMSTERDAM","40530718","239"
"28563","Stichting Katholiek Onderwijs De Streek","Dam","20-A","1613 AL","GROOTEBROEK","0532","STEDE BROEC","Rooms-Katholiek","0228524096","www.sko-destreek.nl","Dam","20-A","1613 AL","GROOTEBROEK","41234504","401"
"28601","Stichting Morgenwijzer","Henry Dunantweg","30","2402 NR","ALPHEN AAN DEN RIJN","0484","ALPHEN AAN DEN RIJN","Rooms-Katholiek","0172437817","www.skba.nl","Postbus","290","2400 AG","ALPHEN AAN DEN RIJN","41165477","098"
"28614","Stichting Openluchtscholen voor het Gezonde kind","Cliostraat","40","1077 KJ","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206442760","","Postbus","9853","1006 AN","AMSTERDAM","40530792","222"
"28849","Stichting voor Katholiek Onderwijs Aalsmeer","Gerberastraat","2","1431 SG","AALSMEER","0358","AALSMEER","Rooms-Katholiek","0742650650","www.skoa.eu","Postbus","185","7620 AD","BORNE","41222738","722"
"29056","Vereniging Stichting Instandhouding School met de Bijbel Staphorst","Buitenstouwe","6-B","7951 PL","STAPHORST","0180","STAPHORST","Protestants-Christelijk","0522262163","","Buitenstouwe","6-B","7951 PL","STAPHORST","40059193","165"
"29473","Ver. Verstr. v. BO op R.G.s. te Kruiningen","Marconistraat","16","4416 DE","KRUININGEN","0703","REIMERSWAAL","Reformatorisch","0113382674","www.comrieschool.nl","Marconistraat","16","4416 DE","KRUININGEN","40309610","165"
"29577","Ver. Scholen der Evangelische Broedergemeente","Zinzendorflaan","2-B","3703 CG","ZEIST","0355","ZEIST","Protestants-Christelijk","0306917285","www.comeniusschool.info","Postbus","556","3700 AN","ZEIST","40478062","780"
"29785","Stichting Katholiek Onderwijs Hulst","Steenstraat","32-A","4561 AS","HULST","0677","HULST","Rooms-Katholiek","0114371448","www.skohulst.nl","Postbus","198","4560 AD","HULST","41110194","947"
"29810","Stichting Conexus","Panovenlaan","1","6525 DZ","NIJMEGEN","0268","NIJMEGEN","Rooms-Katholiek","0243733960","www.conexus.nu","Panovenlaan","1","6525 DZ","NIJMEGEN","41055364",""
"29823","Ver. verstrekken van onderwijs Geref. Grondslag Krabbendijke","Hinkelingestraat","10","4413 AG","KRABBENDIJKE","0703","REIMERSWAAL","Protestants-Christelijk","0113501846","","Postbus","17","4413 ZG","KRABBENDIJKE","40309115","165"
"29863","Stichting R.K. Scholen Diemen","Ouddiemerlaan","106","1111 HL","DIEMEN","0384","DIEMEN","Rooms-Katholiek","0206981832","www.sint-petrusschool.nl","Ouddiemerlaan","106","1111 HL","DIEMEN","41199762","706"
"30010","Stichting voor P.C.B.O. voor Amersfoort","Burg de Beaufortweg","16","3833 AG","LEUSDEN","0327","LEUSDEN","Protestants-Christelijk","0334648065","www.pcboamersfoort.nl","Burg de Beaufortweg","16","3833 AG","LEUSDEN","40507173","136"
"30013","Stichting Scholen van het Rozenkruis","'s-Gravesandelaan","15","1222 SX","HILVERSUM","0402","HILVERSUM","Algemeen bijzonder","0356832913","","'s-Gravesandelaan","15","1222 SX","HILVERSUM","41223010","222"
"30015","Ver. Oecumenisch Onderwijs in Maarn","Breeschotenlaan","26","3951 VL","MAARN","1581","UTRECHTSE HEUVELRUG","Algemeen bijzonder","0343442358","www.deladder.nl","Breeschotenlaan","26","3951 VL","MAARN","40480196","722"
"30027","Stichting de Vrije School Eindhoven-Zuid","Mimosaplein","1","5643 CJ","EINDHOVEN","0772","EINDHOVEN","Antroposofisch","0402110648","www.vbs-deregenboog.nl","Mimosaplein","1","5643 CJ","EINDHOVEN","41089002","606"
"30044","Stichting Schoolbestuur St. Jozef","Schoolplein","2","2636 GB","SCHIPLUIDEN","1842","MIDDEN-DELFLAND","Rooms-Katholiek","0153808529","www.jozefschool-schipluiden.nl","Schoolplein","2","2636 GB","SCHIPLUIDEN","41145369","606"
"30051","Ver v. Pr.-Christ. Bas.onderw. te Bakkeveen","Mjumster Wei","12","9243 SJ","BAKKEVEEN","0086","OPSTERLAND","Protestants-Christelijk","0516541463","www.betrouwen.nl","Mjumster Wei","12","9243 SJ","BAKKEVEEN","40003953","780"
"30090","Stichting Jenaplan Onderwijs Uithoorn","Arthur van Schendellaan","100-E","1422 LE","UITHOORN","0451","UITHOORN","Rooms-Katholiek","0297521590","www.startnest.nl","Arthur van Schendellaan","100-E","1422 LE","UITHOORN","41204667","706"
"30124","Montessori-Vereniging Tholen","Zoekweg","1-A","4691 HT","THOLEN","0716","THOLEN","Algemeen bijzonder","0166604465","www.montessorischooldekraal.nl","Zoekweg","1-A","4691 HT","THOLEN","40310559","413"
"30128","Ver. tot het verstrekken van basisonderw. Geref. grondslag","De la Reystraat","38","3851 BH","ERMELO","0233","ERMELO","Protestants-Christelijk","0341551201","www.augustinus-ermelo.nl","De la Reystraat","38","3851 BH","ERMELO","40094502","165"
"30133","Vereniging voor Chr. Onderwijs op Reformatorische Grondslag in de Hoeksche Waard","Laningpad","3","3262 JS","OUD-BEIJERLAND","0584","OUD-BEIJERLAND","Reformatorisch","0186615923","www.ebenhaezerschool.nl","Laningpad","3","3262 JS","OUD-BEIJERLAND","40323603","165"
"30145","Stichting tot het verstrekken Onderwijs Gereform. Grondslag","Clasinastraat","3","4341 ER","ARNEMUIDEN","0687","MIDDELBURG","Algemeen bijzonder","0118601986","","Clasinastraat","3","4341 ER","ARNEMUIDEN","41114032","165"
"30235","Stichting Prot.-Chr. Onderwijs Boxmeer","Frans Halsstraat","29","5831 CA","BOXMEER","0756","BOXMEER","Protestants-Christelijk","0485571518","www.depeppels.nl","Frans Halsstraat","29","5831 CA","BOXMEER","41083125","606"
"30240","Stichting QliQ Primair Onderwijs","Nieuwveld","61","5702 HW","HELMOND","0794","HELMOND","Rooms-Katholiek","0492477960","www.qliqprimair.nl","Nieuwveld","61","5702 HW","HELMOND","41088197",""
"30263","Stichting tot het verstrekken onderw. op Gereform. grondslag","Stenenpad","3","4311 AJ","BRUINISSE","1676","SCHOUWEN-DUIVELAND","Algemeen bijzonder","0111482201","","Postbus","120","4310 AC","BRUINISSE","41114019","165"
"30320","Stichting De Buitenveldertse Montessorischool","Sandenburch","1","1082 GN","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206400982","","Sandenburch","1","1082 GN","AMSTERDAM","41206568","222"
"30330","Ver. voor P-C Basisonderwijs te Morra-Lioessens","Siniastrjitte","13","9134 NX","LIOESSENS","0058","DONGERADEEL","Protestants-Christelijk","0519321989","www.cbs-de-griffel.nl","Siniastrjitte","13","9134 NX","LIOESSENS","40002776","951"
"30357","Stichting Katholiek Onderwijs Zeewolde","Gedempte Gracht","25","3894 BA","ZEEWOLDE","0050","ZEEWOLDE","Rooms-Katholiek","0639276505","www.sko-zeewolde.nl","Gedempte Gracht","25","3894 BA","ZEEWOLDE","41023992","706"
"30582","Stg H3O v christ. peuterwerk kinderopv., prim./voortg. ond.","Kolfstraat","120","3311 XL","DORDRECHT","0505","DORDRECHT","Protestants-Christelijk","0788905000","www.h3o.nl","Postbus","151","3300 AD","DORDRECHT","41120110",""
"30673","Stichting Hervormde Scholen te Voorthuizen","Van den Berglaan","12","3781 GG","VOORTHUIZEN","0203","BARNEVELD","Protestants-Christelijk","0342475196","","Van den Berglaan","12","3781 GG","VOORTHUIZEN","41049975","606"
"30700","Ver. voor Chr. Primair Onderw. op Reform. Gr. Doetinchem eo","Grevengoedlaan","109","7009 DZ","DOETINCHEM","0222","DOETINCHEM","Reformatorisch","0314323135","","Grevengoedlaan","109","7009 DZ","DOETINCHEM","40123513","165"
"30701","Stg. Alg. Bijzonder Onderwijs in Heemstede","Van der Waalslaan","33","2105 TC","HEEMSTEDE","0397","HEEMSTEDE","Algemeen bijzonder","0235472737","www.basisschooldeevenaar.nl","Van der Waalslaan","33","2105 TC","HEEMSTEDE","41224541","098"
"30703","Stichting Evangelische Basisschool","Holendrechtplein","42","1106 LP","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0206961238","www.ebsdemorgenster.nl","Holendrechtplein","42","1106 LP","AMSTERDAM","41040175","638"
"30709","Stichting Hindoe Onderwijs Nederland","Abraham van Beyerenstr","56","2525 TH","'S-GRAVENHAGE","0518","S GRAVENHAGE","Hindoeïstisch","0703656900","www.shon.nl","Postbus","80","3360 AB","SLIEDRECHT","41154695","136"
"30715","Stichting voor Basisonderwijs Algem. Grondslag  Middelburg","Zuidsingel","17","4331 RR","MIDDELBURG","0687","MIDDELBURG","Algemeen bijzonder","0118613508","www.absmiddelburg.nl","Zuidsingel","17","4331 RR","MIDDELBURG","41114163","413"
"30725","Stg. Islamitische Educatie Zuid-Oost Nederland","Frankrijkstraat","79","5622 AE","EINDHOVEN","0772","EINDHOVEN","Islamitisch","0402460356","www.tarieq.nl","Postbus","1890","5602 CB","EINDHOVEN","41090664","606"
"30731","Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR)","Paradijsplein","1","3034 SL","ROTTERDAM","0599","ROTTERDAM","Islamitisch","0104951580","www.sipor.nl","Paradijsplein","1","3034 SL","ROTTERDAM","41129776","706"
"30824","Stg. Algemeen Basisonderwijs Rijnwaarden","'t Laantje","2-4","6916 CD","TOLKAMER","0299","ZEVENAAR","Algemeen bijzonder","0316541415","www.overlaat.nl","Postbus","35","6916 ZG","TOLKAMER","40119860","744"
"30835","Ver. v. Montessori-Onderwijs Westland","Madeweg","34-A","2681 PM","MONSTER","1783","WESTLAND","Algemeen bijzonder","0174280821","www.ewmm.nl","Madeweg","34-A","2681 PM","MONSTER","40398225","606"
"30847","Stg. Montessori-/Tradit. B.O. Doesburg/Ellecom","Forsythiastraat","1","6982 BA","DOESBURG","0221","DOESBURG","Algemeen bijzonder","0313476407","www.montessorischooldoesburg.nl","Forsythiastraat","1","6982 BA","DOESBURG","41050117","744"
"30849","Stg. v. Chr. Bas.onderw. op Ref. Grondslag voor Katwijk eo","Louise de Colignylaan","1","2224 VT","KATWIJK ZH","0537","KATWIJK","Reformatorisch","0714016729","","Louise de Colignylaan","1","2224 VT","KATWIJK ZH","41167634","165"
"30853","Stichting Montessori Basisonderwijs Duiven e.o.","Bergdravik","2","6922 HM","DUIVEN","0226","DUIVEN","Algemeen bijzonder","0263112470","www.montesorri-groenering.nl","Bergdravik","2","6922 HM","DUIVEN","41050126","744"
"30883","Stichting Islamitische School Amsterdam","Jan van Riebeekstraat","11-13","1057 ZW","AMSTERDAM","0363","AMSTERDAM","Islamitisch","0206180838","www.as-siddieq.nl","Jan van Riebeekstraat","11-13","1057 ZW","AMSTERDAM","41207433","136"
"30889","Ver. Protestants-Christelijk Basisonderwijs te Beesd","Jeugdlaan","4","4153 BE","BEESD","0236","GELDERMALSEN","Protestants-Christelijk","0345681732","www.lingelaar.nl","Postbus","6","4153 ZG","BEESD","40156057","136"
"30967","Vereniging een School met de Bijbel","Kamperzeedijk","18","8281 PG","GENEMUIDEN","1896","ZWARTEWATERLAND","Protestants-Christelijk","0383446550","","Kamperzeedijk","18","8281 PG","GENEMUIDEN","40059524","638"
"31017","Borgesiusstichting","Markt","32","4731 HP","OUDENBOSCH","1655","HALDERBERGE","Rooms-Katholiek","0165330894","www.borgesiusstichting.nl","Markt","32","4731 HP","OUDENBOSCH","41105255",""
"31019","Stichting Kievietschool","Buurtweg","16","2244 AD","WASSENAAR","0629","WASSENAAR","Algemeen bijzonder","0705179252","www.kievietschool.nl","Buurtweg","16","2244 AD","WASSENAAR","41155721","098"
"31032","Ver. t. st. en instandhouding v.e. schl m.d. Bijbel Hoornaar","Dirk IV-plein","33","4223 NJ","HOORNAAR","0689","GIESSENLANDEN","Protestants-Christelijk","0183589205","www.cbssamenopweg.nl","Dirk IV-plein","33","4223 NJ","HOORNAAR","40322479","606"
"31075","Stichting van Brienenoordsch., samenwerkingssch. v. p-c en o","Percevalweg","4","3077 NK","ROTTERDAM","0599","ROTTERDAM","Algemeen bijzonder","0104828422","www.vanbrienenoordschool.nl","Percevalweg","4","3077 NK","ROTTERDAM","41131539","606"
"31076","Stg. Onderw. Islamit. grondsl. Midden- en Oost-Nederland","De Mulderij","10","3831 NV","LEUSDEN","0327","LEUSDEN","Islamitisch","0334337336","www.simonscholen.nl","Postbus","11","3830 AA","LEUSDEN","41189552","638"
"31077","Stg. Verstr. Christ. Onderwijs op Gereformeerde Grondslag","Lekdijk","236","2957 CK","NIEUW-LEKKERLAND","1927","MOLENWAARD","Protestants-Christelijk","0786934887","","Postbus","36","2950 AA","ALBLASSERDAM","41119985","165"
